scale,caption,vendor,brief
4,NI Authentication 2.0 (64-bit),National Instruments,NI Authentication 2.0 (64-bit) is a software designed for secure authentication in OT/ICS systems
4,NI VC2008MSMs x64,National Instruments,NI VC2008MSMs x64 is a software designed for programming and controlling industrial automation systems.
2,PreEmptive Analytics Visual Studio Components,PreEmptive Solutions,PreEmptive Analytics Visual Studio Components is a software for collecting and analyzing application usage data.
2,Dotfuscator and Analytics Community Edition,PreEmptive Solutions,Dotfuscator and Analytics Community Edition is a software for application protection and analytics
4,NI VC2008MSMs x86,National Instruments,NI VC2008MSMs x86 is a software designed for industrial control systems and operational technology.
5,NI SSL Support,National Instruments,NI SSL Support is a software designed for secure communication between OT/ICS systems and devices.
2,SlimDX Runtime .NET 4.0 x86 (January 2012),SlimDX Group,Software for creating and using 3D graphics in applications
4,NI EulaDepot,National Instruments,NI EulaDepot is a software for managing and deploying software licenses for OT/ICS systems.
2,Actipro WinForms Controls 2016.1,Actipro Software LLC,Actipro WinForms Controls 2016.1 is a UI control library for Windows Forms applications.
5,OpenEnterprise Solutions,Emerson,OpenEnterprise Solutions is an industrial automation software suite designed for OT/ICS applications.
5,NI-PAL 14.5.0f0,National Instruments,NI-PAL 14.5.0f0 is a software designed for programming and automating industrial control systems.
5,NI-DIM 14.1.0,National Instruments,NI-DIM 14.1.0 is a software designed for OT/ICS to monitor and control industrial processes.
4,VISA Shared Components 64-Bit,IVI Foundation,VISA Shared Components 64-Bit is a software designed for OT/ICS to enable communication between devices and computers.
4,OpenEnterprise Software Licensing,Emerson,OpenEnterprise Software Licensing is designed for managing and monitoring OT/ICS systems.
4,RSA Authentication Agent,RSA,RSA Authentication Agent is a software designed for secure authentication in OT/ICS systems.
3,WmdcFixesWin10,Juniper Systems,WmdcFixesWin10 is a software designed to fix Windows 10 compatibility issues with Juniper Systems devices.
3,WinHotKey 0.70,Brian Mathis,"WinHotKey is a software for creating hotkeys to launch applications, open files, and perform other tasks."
3,CrowdStrike Device Control,"CrowdStrike, Inc.",CrowdStrike Device Control is a security solution for protecting OT/ICS systems from malicious activities.
5,Rockwell Automation Driver Package x64,Rockwell Automation,Rockwell Automation Driver Package x64 is designed for OT/ICS to provide communication between controllers and devices.
5,FactoryTalk Services Platform 6.21.00 (CPR 9 SR 12),"Rockwell Automation, Inc.","FactoryTalk Services Platform 6.21.00 (CPR 9 SR 12) is designed for OT/ICS to provide secure, reliable, and scalable communication services for industrial automation applications."
5,EtherNet IP Address Commissioning Tool,"Rockwell Automation, Inc.",EtherNet IP Address Commissioning Tool is designed for configuring and commissioning EtherNet/IP networks.
5,FactoryTalk View Site Edition Client 12.00.00 (CPR 9 SR 12),"Rockwell Automation, Inc.",FactoryTalk View Site Edition Client 12.00.00 (CPR 9 SR 12) is an industrial control system software for monitoring and controlling processes.
5,FactoryTalk Transaction Manager 13.10.00,"Rockwell Automation, Inc.",FactoryTalk Transaction Manager 13.10.00 is a software designed for OT/ICS to manage transactions between devices.
5,Studio 5000 View Designer,"Rockwell Automation, Inc.",Studio 5000 View Designer is a software for designing and configuring Human Machine Interface (HMI) applications for Rockwell Automation's Logix-based control systems.
5,Mettler-Toledo 1756 Comm Module Profiles,Mettler-Toledo Corporation,Mettler-Toledo 1756 Comm Module Profiles is an industrial control system software for communication between devices.
5,Tag Data Monitor Tool,Rockwell Automation,Tag Data Monitor Tool is designed for monitoring and analyzing data from OT/ICS systems
4,Bus Module Profile,Advanced Energy,Bus Module Profile (vendor Advanced Energy) is designed for monitoring and controlling industrial processes
5,Rockwell Automation 1734 Discrete Module Profiles 2,"Rockwell Automation, Inc.",Rockwell Automation 1734 Discrete Module Profiles 2 is designed for industrial control systems (ICS) to monitor and control discrete I/O points.
5,Rockwell Automation PowerFlex5 CIP Motion Drive Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation PowerFlex5 CIP Motion Drive Module Profiles is an OT/ICS software for motion control applications.
5,Rockwell Automation DIO EtherNet Safety Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation DIO EtherNet Safety Module Profiles is designed for OT/ICS to provide safety-rated digital input/output (DIO) communication over EtherNet/IP networks.
5,Rockwell Automation Drives PowerFlex 7 3 Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation Drives PowerFlex 7 3 Module Profiles is designed for industrial control systems and operational technology.
5,Rockwell Automation Kinetix5700 CIP Motion Modules,"Rockwell Automation, Inc.",Rockwell Automation Kinetix5700 CIP Motion Modules is designed for industrial motion control applications.
5,Rockwell Automation CompactLogix 5370 L2 Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation CompactLogix 5370 L2 Module Profiles is an industrial control system software for monitoring and controlling industrial processes.
5,Spectrum Controls 1769 Analog Module Profiles,"Spectrum Controls, Inc.",Spectrum Controls 1769 Analog Module Profiles is designed for OT/ICS to provide analog input/output modules for industrial automation.
5,Rockwell Automation 1734 Discrete Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation 1734 Discrete Module Profiles is designed for OT/ICS to provide discrete I/O control and monitoring.
5,Endress+Hauser EtherNet/IP Module Profiles,"Endress+Hauser, Inc.",Endress+Hauser EtherNet/IP Module Profiles is designed for OT/ICS to enable communication between devices and controllers.
5,RSLogix 5000 v19.01.00 (CPR 9 SR 3),"Rockwell Automation, Inc.",RSLogix 5000 v19.01.00 is a software designed for programming and configuring industrial control systems.
5,Rockwell Automation 1738 Ethernet Adapter Module Profile,"Rockwell Automation, Inc.",Rockwell Automation 1738 Ethernet Adapter Module Profile is designed for OT/ICS to enable communication between devices on an Ethernet network.
5,Logix5000 Task Monitor,Rockwell Automation,Logix5000 Task Monitor is a software designed for monitoring and controlling industrial automation systems.
4,Rockwell Automation 2-Port Quick Connect ENetIP Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation 2-Port Quick Connect ENetIP Module Profiles is designed for industrial control systems to enable communication between devices.
5,Rockwell Automation 842E EtherNet/IP Encoder Module Profiles,"Rockwell Automation, Inc.","Rockwell Automation 842E EtherNet/IP Encoder Module Profiles is designed for industrial control systems to provide high-speed, high-accuracy motion control."
5,OPC Core Components Redistributable (x64) 105.0,OPC Foundation,OPC Core Components Redistributable (x64) 105.0 is a software designed for OT/ICS to enable secure and reliable data exchange between devices and applications.
5,Rockwell Automation 2094 Kinetix IPIM Module Profile,"Rockwell Automation, Inc.",Rockwell Automation 2094 Kinetix IPIM Module Profile is an industrial control system software for motion control applications.
5,Rockwell Automation Drives AOP Infrastructure,"Rockwell Automation, Inc.",Rockwell Automation Drives AOP Infrastructure is a software designed for OT/ICS to provide automation solutions for industrial applications.
5,Rockwell Automation 1734 Ethernet Adapter Module Profile,"Rockwell Automation, Inc.",Rockwell Automation 1734 Ethernet Adapter Module Profile is designed for OT/ICS to provide Ethernet communication for remote I/O systems.
5,Rockwell Automation Dynamix Condition Monitor Module Profile,"Rockwell Automation, Inc.",Rockwell Automation Dynamix Condition Monitor Module Profile is designed for monitoring and analyzing the performance of industrial control systems.
5,Rockwell Automation Stratix 5410 Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation Stratix 5410 Module Profiles is designed for industrial control system (ICS) and operational technology (OT).
5,Rockwell Automation 1756 ControlNet Bridge Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation 1756 ControlNet Bridge Module Profiles is designed for OT/ICS to provide communication between ControlNet and EtherNet/IP networks.
4,Rockwell Automation 5XRF RFID Reader Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation 5XRF RFID Reader Module Profiles is designed for OT/ICS to read and write RFID tags.
5,FactoryTalk View Studio Enterprise 11.00.00 (CPR 9 SR 11),"Rockwell Automation, Inc.",FactoryTalk View Studio Enterprise 11.00.00 is an industrial control system software for HMI and SCADA.
5,Logix Designer Help ENU,"Rockwell Automation, Inc.",Logix Designer Help ENU is a software designed for programming and configuring Rockwell Automation's Logix-based controllers
5,Rockwell Automation 5094 Discrete Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation 5094 Discrete Module Profiles is designed for OT/ICS to control and monitor industrial processes.
5,Rockwell Automation 1718-19 Discrete Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation 1718-19 Discrete Module Profiles is a software designed for OT/ICS to control and monitor industrial processes.
5,Rockwell Automation CIP Safety Encoder Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation CIP Safety Encoder Module Profiles is designed for OT/ICS to provide safety-related motion control.
5,Rockwell Automation 1718-19 Analog Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation 1718-19 Analog Module Profiles is designed for OT/ICS to provide analog input/output modules for industrial automation.
4,BLH 1756 Module Profiles,BLH Nobel,BLH 1756 Module Profiles is a software designed for monitoring and controlling industrial processes
0,CA ARCserve Backup,"CA, Inc.","CA ARCserve Backup is a data protection and disaster recovery solution for physical, virtual, and cloud environments."
2,CA ARCserve Backup Setup Support Files,"CA, Inc.",CA ARCserve Backup Setup Support Files provides backup and recovery solutions for businesses of all sizes
3,2D Barcode VCL Components 3.3.6,Han-soft Corporation.,2D Barcode VCL Components 3.3.6 is a software designed for generating 2D barcodes in OT/ICS applications
3,Trend Micro OfficeScan Agent,Trend Micro Inc.,Trend Micro OfficeScan Agent is a security software designed to protect endpoints from malware and other threats.
